rebore [01/,ri:'bɔ:/]	[01* ngđtừ]\n- (kỹ) khoan lại
reclinate [01/'reklineit/]	[01* ttừ]\n- (thực vật) chúi xuống
recline [01/ri'klain/]	[01* ngđtừ]\n- đặt, dựa, tựa, gác (đầu, tay, chân...)\n[01* nđtừ]\n- nằm (trên vật gì) ; tựa đầu (trên vật gì) ; dựa, ngồi dựa\n- (+[04 upon])(bóng) dựa vào, ỷ vào, trông cậy vào
reclothe [01/ri:'klouđ/]	[01* ngđtừ]\n- mặc quần áo lại (cho ai)\n- sắm quần áo mới (cho ai) 
recluse [01/ri'klu:s/]	[01* ttừ]\n- sống ẩn dật, xa lánh xã hội\n[01* dtừ]\n- người sống ẩn dật
reclusion [01/ri'klu:ʒən/]	[01* dtừ]\n- sự ẩn dật; tình trạng ẩn dật\n- tình trạng biệt giam; tình trạng cấm cố
reclusive [01/ri'klu:siv/]	[01* ttừ]\n- ẩn dật; trốn đời
reclusory [01/ri'klu:səri/]	[01* dtừ]\n- nhà ẩn sĩ, người ẩn sĩ
recoal [01/'ri:'koul/]	[01* ngđtừ]\n- cấp thêm than, tiếp tế thêm than (cho một chiếc tàu) 
recoat [01/ri:'kout/]	[01* ngđtừ]\n- sơn lại; quét phủ một lớp sơn mới
recognisability [01/,rekəgnaizə'biləti/]	[01* dtừ]\n- tính có thể công nhận, tính có thể thừa nhận\n- tính có thể nhận ra
