solenoid [01/'soulənɔid/]	[01* dtừ]\n- (điện học) Sôlênôit
solenoidal [01/sou'lənɔidəl/]	[01* ttừ]\n- (điện học)(thuộc) Sôlênôit
sole-plate [01/soul,pleit/]	[01* dtừ]\n- tấm nền\n- mặt dưới bàn là
soler-gun [01/'souldə'gʌn/]	- mỏ hàn
sol-fa [01/,sɔl'fɑ:/]	[01* dtừ]\n- (như) [03solmization]\n[01* đtừ]\n- (như) [03solmizate] 
solfatara [01/,sɔlfə'ta:rə/]	[01* dtừ]\n- miệng núi lửa phun khí sunfua đioxit
solfège [01/sɔl'feʒ/]	[01* dtừ]\n- sự xướng ầm; bài tập xướng ầm
solfeggio [01/sɔl'fedʒiou/]	[01* dtừ]\n-(âm nhạc) sự xướng âm
solferino [01/,sɔlfə'ri:nou/]	[01* dtừ]\n- màu đỏ tía
soli [01/'souli:/]	- số nhiều của [03solo]
solicit [01/sə'lisit/]	[01* ngđtừ]\n- khẩn khoản, nài xin\n[02= to solicit favours] nài xin ân huệ\n- thu hút\n[02= marvels solicit attention] những sự kỳ lại thu hút sự chú ý\n- gạ gẫm, níu kéo, chài (gái điếm) 
solicitant [01/sə'lisitənt/]	[01* dtừ]\n- người cầu xin (ân huệ; yêu cầu tha thiết) 
